,0,1,2,3
95,-0.17960832701761567,-0.34951880651291894,0.24262675253837146,0.12472221959425195
41,-1.7538224873484858,0.3448585557594137,-1.4109855467018537,-1.3250630138453157
133,0.3047652607764976,-1.0438961687852506,1.0409223452750316,0.256520877179667
119,1.2735124363647263,0.3448585557594137,1.0979434590419361,1.442708795448404
69,0.06257846687944152,0.3448585557594137,0.5847534351397972,0.7837155075213281
115,0.789138848570612,-0.11805968575547474,0.9839012315081275,0.7837155075213281
19,-0.5428885178632009,0.8077767972743011,-1.1829010916342366,-1.3250630138453157
53,0.789138848570612,-0.5809779272703631,0.47071120760598845,0.38831953476508235
33,-1.1483555026058434,0.11339943500196949,-1.2969433191680453,-1.4568616714307308
125,0.42585865772502673,-0.5809779272703631,0.5847534351397972,0.7837155075213281
136,0.668045451622084,0.11339943500196949,0.9839012315081275,0.7837155075213281
36,-1.1483555026058434,0.11339943500196949,-1.2969433191680453,-1.4568616714307308
20,-0.9061687087087872,1.5021541595466337,-1.2969433191680453,-1.0614656986744853
72,0.3047652607764976,-0.5809779272703631,0.527732321372893,-0.007076437991163399
86,0.5469520546735548,-1.7382735310575832,0.3566689800721802,0.12472221959425195
79,-0.42179512091467286,-1.506814410300139,0.014542297470753987,-0.13887509557657846
11,-1.2694488995543725,-0.11805968575547474,-1.3539644329349496,-1.4568616714307308
105,-1.1483555026058434,-1.2753552895426947,0.4136900938390843,0.6519168499359128
56,-1.1483555026058434,-1.506814410300139,-0.2705632713637676,-0.2706737531619938
73,0.668045451622084,-0.34951880651291894,0.29964786630527557,0.12472221959425195
8,-1.1483555026058434,0.11339943500196949,-1.2969433191680453,-1.4568616714307308
80,-0.42179512091467286,-1.506814410300139,-0.04247881629615013,-0.2706737531619938
63,-0.3007017239661448,-0.34951880651291894,-0.09949993006305449,0.12472221959425195
147,0.42585865772502673,0.8077767972743011,0.9268801177412234,1.442708795448404
128,1.6367926272103117,-0.11805968575547474,1.1549645728088402,0.5201181923504977
4,-0.5428885178632009,1.9650724010615213,-1.1829010916342366,-1.0614656986744853
31,-0.7850753117602581,2.4279906425764084,-1.2969433191680453,-1.4568616714307308
88,-0.42179512091467286,-1.2753552895426947,0.12858452500456272,0.12472221959425195
131,0.668045451622084,-0.5809779272703631,1.0409223452750316,1.3109101378629893
87,-0.3007017239661448,-0.11805968575547474,0.18560563877146682,0.12472221959425195
